content,score,Target_type,target_type
gacor kang,5,1,1
aplikasi bagus tetapi banyak lag jika di android tetapi kalau di chrome tidak ada lag sama sekali,4,1,1
baguss sangat keren canva bisa bantu buat tugas ah perfek pokok,5,1,1
sangat bagus,5,1,1
bguss sangat,5,1,1
mantap,2,0,0
kini tak perlu sulit lagi kalau ingin buat walpaper stiker video kartu ucap dan bagai cukup canva saja di google play store,5,1,1
tidak bagus terlalu jelek,1,0,0
terms kasih,5,1,1
,5,1,1
saya sudah coba canva di leptop saya bagus sekali jadi saya donlod di hp,5,1,1
keren,5,1,1
sangat muas dari aplikasi canva,5,1,1
mantap,5,1,1
aplikasi sangat buruk karena lot padahal jaringanya bagus,1,0,0
moga di tf ke kan sudah di kasi bintang,5,1,1
sangat muas,5,1,1
verry good,5,1,1
